0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,"Road Accidents, Persons Killed and Injured: 1970-2019",,,,,,,,,,
,Total,,,,,,,,Number of,,Number of,,,Number of,Number of
,,Total,Total,,Total Number,,,Number of,,Number of,,Number of,Number of,,
,Number of,,,,,,Number of,,Accidents,,Persons,,,Persons,Persons
,,Number of,Number of,Population of,of Registered,,,Accidents,,Persons,,Persons,Persons,,
,Road,,,,,Road Length,Accidents,,per Ten,,Killed Per,,,Injured Per,Injured Per
Years,,Persons,Persons,India (in,Motor,,,per Ten,,Killed Per,,Killed per,Injured per,,
,Accidents,,,,,(in kms),per Lakh,,Thousand,,Ten,,,Ten,Ten
,,Killed (in,Injured (in,thousands),Vehicles (in,,,Thousand,,Lakh,,Ten Thousand,Lakh,,
,(in,,,,,,Population,,Kms of,,Thousand,,,Thousand,Thousand
,,numbers),numbers),,thousands),,,Vehicles,,Population,,Kms of Roads,Population,,
,numbers),,,,,,,,Roads,,Vehicles,,,Vehicles,Kms of Roads
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1970,"1,14,100","14,500","70,100","5,39,000","1,401","11,88,728",21.2,814.4,959.8,2.7,103.5,122.0,13.0,500.4,589.7
