0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,Total,,Total,,Total,,Total,,"Deaths
18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deaths,,Deaths,,Deaths,,Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Accidents,,Accidents,,Accidents,,Accidents,,"Two Wheelers 
 National Highways 
under State PWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,656,8,502,467,752,391,"103
310","NR
0","17
1,022","6,262",449,535,90,4,4,25,413,"412
17",2,"1,828
597",92,"112
490",240,0,0,0,0,0,0,"150
15,950"
1,Andhra Pradesh,"5,792","2,279","1,806",808,84,27,"7,682","3,114","Total 
Accidents 
17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arunachal Pradesh,70,37,25,17,0,0,95,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,,,,,,,0,4,2,1,,,1,,0,,,5,0,0,0,,0,
3,Assam,"2,735","1,229","1,252",460,1,1,"3,988","1,690","Deaths
16
786",10,421,"1,227",396,,"517
247","NR
71","60
1,193",27,693,"1,206",,,,,698,"398
24",,"1,017
943",,"143
2,212",41,,,,,76,,"28
12,447"
4,Bihar,"3,486","2,633","1,028",794,12,9,"4,526","3,436","National Highways 
under NHAI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chhattisgarh,"2,175",802,"1,636",619,0,0,"3,811","1,421","Total 
Accidents 
15
2,274",20,858,"1,634",888,0,"985
405","NR
510","86
3,762",357,"2,300","2,322",0,21,3,7,"1,430","498
28",2,"4,856
1,134",0,"178
4,022",43,28,0,0,0,265,0,"195
29,111"
6,Goa,0,0,"1,244",107,0,0,"1,244",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gujarat,"3,139","1,671",369,227,3,0,"3,511","1,898",0,0,0,0,0,0,"19
0",0,"23
0",0,4,7,0,0,0,0,0,"15
2",0,"34
0",0,"41
0",0,0,1,0,0,0,0,"146
0"
8,Haryana,"1,481","1,019","1,039",450,922,432,"3,442","1,901","Deaths
14",,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,
9,Himachal Pradesh,"1,396",487,NR,NR,NR,NR,"1,396",487,"National Highways 
under Other 
department",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0
10,Jammu & Kashmir,"2,081",384,0,0,0,0,"2,081",384,"Total 
Accidents 
13",,,,,,17,NR,21,,31,14,,,,,,12,,93,,93,,,,,,,,290
11,Jharkhand,694,481,687,486,693,587,"2,074","1,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Karnataka,"10,784","3,152","2,348",641,231,49,"13,363","3,842",9,0,11,46,22,1,"1
3","NR
0","63
1",33,6,5,3,0,0,0,12,"29
1",0,"63
1",1,"128
2",26,0,0,0,0,0,0,"472
5"
13,Kerala,458,43,"9,001","1,216",0,0,"9,459","1,259","Deaths
12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Madhya Pradesh,"8,165","2,376","1,580",383,695,145,"10,440","2,904","Bicycles 
 National Highways 
under State PWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,0,39,53,49,3,"1
4",0,"62
13",,27,12,17,0,0,0,15,"35
1",0,2,6,7,59,0,0,0,0,0,0,29
15,Maharashtra,"5,716","2,710","1,217",536,"1,427",553,"8,360","3,799","Total 
Accidents 
11",,,,,,,NR,,198,,,,,,,,,,163,,215,,,,,,,,"1,024"
