0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,States/UTs,under NHAI,,under State PWD,,,,under NHAI,,under State PWD,,,,under NHAI,,under State PWD,,,
No,,,,,,department,,,,,,department,,,,,,department,
,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,
,,,Deaths,,Deaths,,Deaths,,Deaths,,Deaths,,Deaths,,Deaths,,Deaths,,Deaths
,,Accidents,,Accidents,,Accidents,,Accidents,,Accidents,,Accidents,,Accidents,,Accidents,,Accidents,
,,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,Andhra Pradesh,351,113,161,54,9,3,820,323,294,133,7,0,634,265,169,87,8,2
2,Arunachal Pradesh,3,3,1,1,0,0,19,9,7,5,0,0,4,1,2,1,0,0
3,Assam,132,57,78,25,0,0,654,296,342,125,1,1,240,93,55,21,0,0
4,Bihar,145,107,28,19,0,0,419,290,118,81,1,1,187,123,40,21,0,0
5,Chhattisgarh,22,6,64,8,0,0,505,96,291,82,0,0,213,87,148,57,0,0
6,Goa,0,0,12,0,0,0,0,0,524,16,0,0,0,0,180,2,0,0
7,Gujarat,164,89,34,16,0,0,702,369,111,59,0,0,506,212,71,55,0,0
8,Haryana,38,29,36,20,45,31,279,150,165,56,144,30,190,170,129,88,76,42
9,Himachal Pradesh,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
10,Jammu & Kashmir,5,0,0,0,0,0,"1,301",203,0,0,0,0,77,43,0,0,0,0
11,Jharkhand,37,49,72,74,62,65,60,51,101,39,56,58,179,49,104,48,37,42
12,Karnataka,373,103,80,23,7,4,"3,002",765,508,124,58,6,"1,316",341,175,40,41,9
13,Kerala,36,0,863,44,0,0,209,2,"3,685",140,0,0,22,0,878,16,0,0
14,Madhya Pradesh,422,60,43,10,47,6,"1,336",424,248,61,167,26,"1,442",458,165,49,79,18
15,Maharashtra,222,76,52,17,62,15,"1,233",531,211,76,340,96,636,180,96,41,115,34
16,Manipur,0,0,27,2,0,0,0,0,107,29,3,1,0,0,45,10,12,9
17,Meghalaya,9,2,1,1,2,2,33,8,8,8,9,2,14,4,4,2,6,3
18,Mizoram,0,0,0,0,0,0,2,1,3,3,0,0,2,1,2,3,0,0
19,Nagaland,12,1,40,1,15,0,14,1,38,5,11,0,8,0,15,2,0,0
20,Orissa,116,68,41,22,0,0,512,254,194,70,0,0,521,231,108,36,0,0
21,Punjab,69,75,109,65,45,20,106,145,222,97,99,59,35,12,26,20,6,2
22,Rajasthan,4,3,2,1,0,0,"1,417",778,862,568,"1,274",694,879,192,487,330,716,218
23,Sikkim,0,0,0,0,0,0,8,5,30,16,8,3,3,1,2,0,1,0
24,Tamil Nadu,456,64,99,26,68,17,"1,328",203,841,294,496,163,647,207,228,64,103,33
25,Telangana,333,62,180,41,81,21,"1,318",166,509,244,132,4,"1,051",72,422,38,16,6
26,Tripura,0,0,4,1,0,0,0,0,80,37,0,0,0,0,37,21,0,0
27,Uttarakhand,5,3,4,1,0,0,53,32,41,32,8,19,15,6,15,14,1,1
28,Uttar Pradesh,833,439,206,111,68,37,"2,248","1,336",419,227,195,112,"1,319",717,290,163,122,75
29,West Bengal,7,4,16,8,0,0,304,165,174,75,22,8,644,326,204,106,11,4
30,A & N Islands,2,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0
31,Chandigarh,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0
32,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,19,7,0,0,0,0,31,2,0,0,0,0,6,2,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,3,0,3,0,0,0,19,7,23,1,0,0,12,0,16,0,0,0
,Total,"3,818","1,420","2,256",591,512,222,"17,941","6,612","10,156","2,703","3,036","1,283","10,812","3,793","4,113","1,335","1,350",498
