0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,Total Number of Road Accidents in India: 2016 to 2019,,,,,,,,,,,,,,
,,,,,,,,Share of States/UTs in Total Number,,,,Total Number of Accidents Per Lakh,,,,Total Number of  Road Accidents,,,,Total Number of  Road Accidents,
,,State/UT-Wise Total Number of Road Accidents during,,,,,,,,,,,,,,,,,,,
S.,,,,,,,,,of Road Accidents,,,,Population,,,"per 10,000 Vehicles",,,,"per 10,000 Km of Roads",
,States/UTs,,,,,,,,,,,,,,,,,,,,
No.,,,,,2019,,,,,,,,,,,,2018,2019,,,2018
,,2016,2017,2018,,,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,,,2016,2017,
,,,,,Number,Rank,,,,,,,,,,,(P),(P),,,(P)
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,Andhra Pradesh,"24,888","25,727","24,475","21,992",8,5.2,5.5,5.2,4.9,28.2,28.9,27.3,24.3,28.5,26.7,22.7,18.3,"1,427.3","1,457.8","1,121.7"
2,Arunachal Pradesh,249,241,277,237,30,0.1,0.1,0.1,0.1,19.0,18.2,20.7,17.5,9.4,13.4,13.2,10.3,81.1,65.1,54.8
3,Assam,"7,435","7,170","8,248","8,350",16,1.5,1.5,1.8,1.9,22.9,21.9,24.9,24.9,26.4,23.7,24.0,21.2,225.6,212.3,240.0
4,Bihar,"8,222","8,855","9,600","10,007",15,1.7,1.9,2.1,2.2,7.9,8.4,9.0,9.3,15.0,14.2,13.0,11.7,398.2,422.6,330.4
5,Chhattisgarh,"13,580","13,563","13,864","13,899",11,2.8,2.9,3.0,3.1,52.5,51.8,52.3,51.9,28.2,25.9,23.9,21.8,"1,417.4","1,386.2","1,351.6"
6,Goa,"4,304","3,917","3,709","3,440",21,0.9,0.8,0.8,0.8,217.7,193.6,179.4,162.5,37.2,31.6,28.0,24.5,"2,679.4","2,351.3","1,993.3"
7,Gujarat,"21,859","19,081","18,769","17,046",10,4.5,4.1,4.0,3.8,34.8,30.0,29.2,26.3,10.7,8.7,7.9,6.8,"1,220.2","1,054.6",930.3
8,Haryana,"11,234","11,258","11,238","10,944",13,2.3,2.4,2.4,2.4,40.9,40.4,39.8,38.2,13.0,12.0,14.5,12.7,"2,317.1","1,383.3","2,246.7"
9,Himachal Pradesh,"3,168","3,114","3,110","2,873",22,0.7,0.7,0.7,0.6,44.7,43.5,43.2,39.6,27.0,23.0,20.8,17.6,568.2,495.8,502.4
10,Jammu & Kashmir,"5,501","5,624","5,978","5,796",18,1.1,1.2,1.3,1.3,44.3,44.8,47.2,45.4,40.3,37.2,35.7,31.3,"1,106.5",887.3,550.1
11,Jharkhand,"4,932","5,198","5,394","5,217",20,1.0,1.1,1.2,1.2,14.7,15.3,15.6,15.0,19.9,15.4,13.4,11.4,738.5,743.9,682.2
12,Karnataka,"44,403","42,542","41,707","40,658",5,9.2,9.2,8.9,9.1,71.2,67.6,65.7,63.6,27.3,23.8,21.5,19.3,"1,285.1","1,178.3","1,176.5"
