0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,Fatal,,,Non-Injury,Total
S. No.,States/UTs,,,,2019,,,,,,,,
,,,,,,,S.No,States/UTs,,Injury,Injury,,
,,,,,,,,,Accidents,,,Accidents,Accidents
,,2016,2017,2018,,,,,,,,,
,,,,,,,,,,Accidents,Accidents,,
,,,,,Number,Rank,,,,,,,
1,2,3,4,5,6,7,1,2,3,4,5,6,7
1,Andhra Pradesh,34.3,31.3,30.9,36.3,21,1,Andhra Pradesh,"7,389","4,053","9,235","1,315","21,992"
2,Arunachal Pradesh,59.8,45.6,63.2,53.6,8,2,Arunachal Pradesh,108,79,43,7,237
3,Assam,34.6,38.8,36.0,38.4,18,3,Assam,"3,019","4,217",664,450,"8,350"
4,Bihar,59.6,62.7,70.1,72.0,4,4,Bihar,"6,731","2,546",239,491,"10,007"
5,Chhattisgarh,28.8,30.5,33.1,36.0,22,5,Chhattisgarh,"4,603","1,809","5,799","1,688","13,899"
6,Goa,7.8,8.4,7.1,8.6,34,6,Goa,283,196,769,"2,192","3,440"
7,Gujarat,,,,,,7,Gujarat,"6,726","5,826","3,418","1,076","17,046"
,,37.2,38.2,42.6,43.4,14,,,,,,,
8,,,,,,,8,Haryana,"4,684","1,575","4,223",462,"10,944"
,Haryana,44.7,45.5,45.5,46.2,11,,,,,,,
,,,,,,,9,Himachal Pradesh,930,932,840,171,"2,873"
9,Himachal Pradesh,40.1,38.6,38.8,39.9,16,,,,,,,
,,,,,,,10,Jammu & Kashmir,762,2470,"1,751",813,"5,796"
10,Jammu & Kashmir,17.4,16.5,16.5,17.2,30,,,,,,,
,,,,,,,11,Jharkhand,"3,414","1,481",215,107,"5,217"
11,Jharkhand,61.4,62.6,65.7,72.9,2,,,,,,,
,,,,,,,12,Karnataka,"10,060","17,487","9,768","3,343","40,658"
12,Karnataka,25.1,24.9,26.4,27.0,25,,,,,,,
,,,,,,,13,Kerala,"4,183","29,569","6,043","1,316","41,111"
13,Kerala,10.9,10.7,10.7,10.8,31,,,,,,,
,,,,,,,14,Madhya Pradesh,"10,182","5,427","30,593","4,467","50,669"
14,Madhya Pradesh,17.9,19.1,20.8,22.2,28,,,,,,,
