0,1,2,3,4,5,6,7
"Table 7.9: Accidents, Persons Killed and Injuries by road feature in Million Plus Cities",,,,,,,
,,,,,"Road Accidents, Fatalities and Injuries by type of Road Junction",,
,during 2020,,,,,,
,,,,7.15  Road junctions are traffic merging points,,,"the  Junctions  Category,  T-junction"
Road feature,Number of accidents,Persons killed,Persons injured,,,,
,,,,,and  hence  are  prone  to  accidents.  The,,accounts for the largest share of accidents
,,,,,data  of  50  Million  Plus  Cities  reveals,,"(13.58%),  persons  killed  (11.94%)  and"
Straight Road,"35,605","8,020","30,299",,,,
,,,,,"44.5 % of the accidents, 38.91% of death",,injuries  (13.82%).  The  leading  five
Share in Total,60.62,59.22,59.98,,,,
,,,,,and 44.88 % of injuries in 2020 took place,,Million Plus Cities in terms of accidents
Curved Road,"5,512","1,243","4,990",,,,
,,,,,at  various  types  of  junctions  defined  in,,"on T-Junctions are Jabalpur (933), Indore"
Share in Total,9.38,9.18,9.88,,,,
,,,,,"the  table  7.10,  while  the  “others”",,"(509),  Delhi  (487),  Kollam  (481)  and"
Bridge,"2,732",845.5,"2,225",,category  accounted  for  the  remaining,,Raipur  (461).  Million  Plus  City  wise
,,,,,"55.5 % of accidents, 61.09 % of death and",details are given at Annexure 49.,
Share in Total,4.65,6.24,4.40,,,,
,,,,,55.12  %  of  injuries  (Chart  7.9).  Within,,
Culvert,992,262,842,,,,
,,,,,Table 7.10: Accidents by type of Road Junction in the Million Plus Cities during 2020,,
Share in Total,1.69,1.93,1.67,,,,
,,,,Junction Type,Number of Accidents,Persons Killed,Persons Injured
Potholes,705,196,602,,,,
,,,,T-Junction,"7,978","1,617","6,980"
Share in Total,1.20,1.45,1.19,Share in Total,13.58,11.94,13.82
,,,,Y-Junction,"3,676",918,"3,149"
Steep Grade,969,214,903,,,,
,,,,Share in Total,6.26,6.78,6.23
Share in Total,1.65,1.58,1.79,,,,
,,,,Four arm Junction,"5,441","1,081","4,396"
,,,,Share in Total,9.26,7.98,8.7
Ongoing Road Works/ Under Construction,"1,643",541.75,"1,250",,,,
,,,,Staggered Junction,"6,334","1,064","5,756"
Share in Total,2.80,4.00,2.47,,,,
,,,,Share in Total,10.78,7.86,11.39
Others,"10,578","2,220","9,404",Round about Junction,"2,710",589,"2,388"
,,,,Share in Total,4.61,4.35,4.73
Share in Total,18.01,16.39,18.62,,,,
,,,,Others*,"32,597","8,273","27,846"
,,,,Share in Total,55.5,61.09,55.12
Total Million Plus cities,"58,736","13,542","50,515",,,,
,,,,Total,"58,736","13,542","50,515"
