0,1,2,3,4,5,6,7
,Table 6.10: Accidents by type of Road Junction in the Million Plus Cities during 2021,,,,"Table 6.11: Accidents, Persons Killed and Injured by type of Traffic Control   during 2021",,
Junction Type,Number of Accidents,Persons Killed,Persons Injured,Traffic control,Number of Accidents,Persons Killed,Persons Injured
T-Junction,"8,239","1,713","7,077",Traffic Light Signal (a),"3,663",622,"3,164"
Share in Total,12.2,11.2,12.0,Share in Total,5.4,4.1,5.4
Y-Junction,"3,066",620,"2,697",Police Controlled (b),"2,595",555,"2,296"
Share in Total,4.6,4.0,4.6,Share in Total,3.9,3.6,3.9
Four arm Junction,"6,007","1,162","4,856",Stop Sign ( c),927,256,764
Share in Total,8.9,7.6,8.3,Share in Total,1.4,1.7,1.3
,,,,Flashing Signal/Blinker (d),"1,081",322,884
Staggered Junction,"3,544",840,"2,974",,,,
,,,,Share in Total,1.6,2.1,1.5
Share in Total,5.3,5.5,5.1,,,,
,,,,Uncontrolled (e ),"16,574","3,424","14,971"
Round about Junction,"3,691",717,"3,461",,,,
,,,,Share in Total,24.6,22.3,25.5
Share in Total,5.5,4.7,5.9,,,,
,,,,Sub Total f = (a+b+c+d+e),"24,840","5,179","22,079"
Others,"42,754","10,298","37,693",,,,
,,,,Share of subtotal in Total,36.9,33.7,37.6
Share in Total,63.5,67.1,64.1,,,,
,,,,Others,"42,461","10,171","36,679"
Total,"67,301","15,350","58,758",,,,
,,,,Share in Total,63.1,66.3,62.4
Chart 6.9: Road Accidents and Fatalities by type of Road Junction in Million Plus Cities,,,,,,,
,,,,Total,"67,301","15,350","58,758"
,during 2021,,,,,,
