0,1,2,3,4,5,6
,"Table 9.1: Number of road accidents, fatalities and injuries in Rural and Urban areas",,,,,
,,,during 2016 and 2017,,,
,,2016,,,2017,
,Total,Persons,Person,Total,Persons,Persons
,Accidents,Killed,Injured,Accidents,Killed,Injured
,"2,16,813","57,840","2,12,346","1,95,723","51,334","1,83,703"
Urban Area,,,,,,
,(45.1),(38.4),(42.9),(42.1),(34.7),(39.0)
,"2,63,839","92,945","2,82,278","2,69,187","96,579","2,87,272"
Rural Area,,,,,,
,(54.9),(61.6),(57.1),(57.9),(65.3),(61.0)
Total,"4,80,652","1,50,785","4,94,624","4,64,910","1,47,913","4,70,975"
Note: Figures in parentheses indicate the percentage share in the total of share of the total.,,,,,,
