0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,2022,,,,,,,,,,,,,,
,,2019,2020,2021,,,2019,2020,2021,2022,2019,2020,2021,2022,2019,2020,,2019,
,,,,,Number,Rank,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,18,
1,Andhra Pradesh,"7,984","7,039","8,186","8,293",8,5.0,5.1,5.3,4.9,8.8,7.7,15.5,15.7,6.7,,5.4,,452.7
2,Arunachal Pradesh,127,73,157,148,27,0.1,0.1,0.1,0.1,9.4,5.3,10.2,9.6,5.5,,3.2,,23.0
3,Assam,"3,208","2,629","3,036","2,994",18,2.0,1.9,2.0,1.8,9.6,7.8,8.7,8.5,8.1,,6.0,,80.4
4,Bihar,"7,205","6,699","7,660","8,898",7,4.5,4.8,5.0,5.3,6.7,6.2,6.2,7.1,8.4,,6.8,,241.6
5,Chhattisgarh,"5,003","4,606","5,371","5,834",12,3.1,3.3,3.5,3.5,18.7,17.0,18.2,19.6,7.8,,6.6,,476.1
6,Goa,297,223,226,271,23,0.2,0.2,0.1,0.2,14.0,10.3,14.5,17.3,2.1,,1.5,,158.8
7,Gujarat,"7,390","6,170","7,452","7,618",9,4.6,4.5,4.8,4.5,11.4,9.4,10.7,10.8,2.9,,2.3,,296.3
8,Haryana,"5,057","4,507","4,706","4,915",14,3.2,3.3,3.1,2.9,17.7,15.5,16.0,16.5,5.9,,5.2,,"1,005.5"
9,Himachal Pradesh,"1,146",893,"1,052","1,032",21,0.7,0.6,0.7,0.6,15.8,12.2,14.2,13.9,7.0,,5.2,,156.5
10,Jharkhand,"3,801","3,044","3,513","3,898",17,2.4,2.2,2.3,2.3,10.9,8.6,9.1,10.0,8.3,,6.0,,467.8
11,Karnataka,"10,958","9,760","10,038","11,702",5,6.9,7.1,6.5,6.9,17.1,15.2,15.0,17.4,5.2,,3.7,,305.8
12,Kerala,"4,440","2,979","3,429","4,317",16,2.8,2.2,2.2,2.6,12.3,8.2,9.7,12.1,3.3,,2.1,,170.8
13,Madhya Pradesh,"11,249","11,141","12,057","13,427",4,7.1,8.1,7.8,8.0,13.9,13.6,14.3,15.7,8.5,,6.2,,308.2
14,Maharashtra,"12,788","11,569","13,528","15,224",3,8.0,8.4,8.8,9.0,10.3,9.2,10.9,12.1,3.6,,3.1,,200.8
15,Manipur,156,127,110,127,28,0.1,0.1,0.1,0.1,5.8,4.7,3.5,4.0,4.3,,3.5,,48.2
16,Meghalaya,179,144,187,162,26,0.1,0.1,0.1,0.1,6.3,5.0,5.7,4.9,4.9,,3.9,,44.5
17,Mizoram,48,42,56,113,29,0.0,0.0,0.0,0.1,4.4,3.8,4.6,9.2,2.1,,1.6,,29.5
18,Nagaland,26,53,55,73,33,0.0,0.0,0.0,0.0,1.1,2.1,2.5,3.3,0.5,,1.0,,6.9
19,Odisha,"5,333","4,738","5,081","5,467",13,3.4,3.4,3.3,3.2,12.3,10.8,11.1,11.9,6.4,,5.2,,174.5
20,Punjab,"4,525","3,898","4,589","4,756",15,2.8,2.8,3.0,2.8,15.1,12.9,15.1,15.6,4.3,,3.4,,306.0
21,Rajasthan,"10,563","9,250","10,043","11,104",6,6.6,6.7,6.5,6.6,13.9,12.1,12.7,13.9,6.0,,4.8,,337.0
22,Sikkim,73,47,56,92,30,0.0,0.0,0.0,0.1,10.9,7.0,8.3,13.5,10.2,,8.7,,59.9
23,Tamil Nadu,"18,129","14,527","15,384","17,884",2,11.4,10.5,10.0,10.6,25.8,20.6,20.1,23.3,6.0,,4.5,,668.6
24,Telangana,"6,964","6,882","7,557","7,559",10,4.4,5.0,4.9,4.5,#,#,20.0,19.9,5.7,,5.3,,495.5
25,Tripura,239,192,194,241,24,0.2,0.1,0.1,0.1,6.1,4.8,4.8,5.9,4.8,,3.5,,53.0
26,Uttarakhand,867,674,820,"1,042",20,0.5,0.5,0.5,0.6,7.9,6.1,7.2,9.0,3.1,,2.3,,126.2
27,Uttar Pradesh,"22,655","19,149","21,227","22,595",1,14.2,13.8,13.8,13.4,9.9,8.3,9.2,9.7,6.9,,5.5,,511.5
28,West Bengal,"5,767","5,128","5,800","6,002",11,3.6,3.7,3.8,3.6,6.0,5.3,5.9,6.1,5.9,,4.7,,203.2
29,A & N Islands,20,14,20,19,35,0.0,0.0,0.0,0.0,3.4,2.3,5.0,4.7,1.4,,0.9,,110.6
30,Chandigarh,104,53,96,83,32,0.1,0.0,0.1,0.0,5.1,2.5,7.9,6.8,1.0,,0.5,,404.3
31,D & N Haveli,49,64,76,90,31,0.0,0.0,0.0,0.1,10.5,7.3,7.1,7.7,4.0,,2.4,,432.5
32,Daman & Diu,28,$,$,$,,0.0,,,,7.5,,,,,,,,"1,022.3"
33,Delhi,"1,463","1,196","1,239","1,461",19,0.9,0.9,0.8,0.9,6.3,5.0,6.0,7.0,1.3,,1.0,,904.7
34,Jammu & Kashmir,996,728,774,805,22,0.6,0.5,0.5,0.5,7.8,5.6,5.8,6.0,5.4,,3.7,,83.0
35,Ladakh,NA,NA,56,62,,,,0.0,0.0,,,18.9,20.7,,,,,
36,Lakshadweep,0,0,1,2,36,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.9,0.0,,0.0,,0.0
37,Puducherry,147,145,140,181,25,0.1,0.1,0.1,0.1,7.9,7.5,8.9,11.3,1.4,,1.3,,342.3
,Total,"1,58,984","1,38,383","1,53,972","1,68,491",,100,100,100,100,12.1,10.4,11.3,12.2,5.3,,4.2,,292.7
